#model_version:v2026.06.15,score_date:2026-09-24T12:00:20Z
cve,epss,percentile
CVE-1999-0001,0.03351,0.88208
CVE-1999-0002,0.27858,0.98029
CVE-1999-0003,0.24565,0.97805
CVE-1999-0004,0.02794,0.85833
CVE-1999-0005,0.18415,0.97134
CVE-1999-0006,0.12124,0.96006
CVE-1999-0007,0.07637,0.94348
CVE-1999-0008,0.03872,0.89801
CVE-1999-0009,0.29013,0.98098
CVE-1999-0010,0.02371,0.831
CVE-1999-0011,0.05469,0.92451
CVE-1999-0012,0.18528,0.97151
CVE-1999-0013,0.01129,0.6493
CVE-1999-0014,0.01223,0.6742
CVE-1999-0015,0.35444,0.98397
CVE-1999-0016,0.95739,0.9987
CVE-1999-0017,0.02002,0.79878
CVE-1999-0018,0.10483,0.95593
CVE-1999-0019,0.01671,0.75783
CVE-1999-0021,0.2667,0.97952
CVE-1999-0022,0.00491,0.39539
CVE-1999-0023,0.00775,0.53816
CVE-1999-0024,0.04976,0.91876
CVE-1999-0025,0.12261,0.96036
CVE-1999-0026,0.00906,0.58126
CVE-1999-0027,0.01168,0.65959
CVE-1999-0028,0.00435,0.35044
CVE-1999-0029,0.01236,0.67749
CVE-1999-0030,0.01061,0.63072
CVE-1999-0031,0.18298,0.97122
CVE-1999-0032,0.00991,0.60924
CVE-1999-0033,0.00629,0.47845
CVE-1999-0034,0.01175,0.6617
CVE-1999-0035,0.00815,0.55197
CVE-1999-0036,0.01401,0.71327
CVE-1999-0037,0.03508,0.8873
CVE-1999-0038,0.01322,0.69651
CVE-1999-0039,0.16209,0.96826
CVE-1999-0040,0.01228,0.67572
CVE-1999-0041,0.09088,0.95118
CVE-1999-0042,0.12727,0.96124
CVE-1999-0043,0.44566,0.98723
CVE-1999-0044,0.00781,0.54001
CVE-1999-0045,0.25969,0.97912
CVE-1999-0046,0.51878,0.98912
CVE-1999-0047,0.03112,0.87248
CVE-1999-0048,0.03134,0.87342
CVE-1999-0049,0.00442,0.35725
CVE-1999-0050,0.01237,0.67763
CVE-1999-0051,0.01296,0.69086
CVE-1999-0052,0.02144,0.81272
CVE-1999-0053,0.01722,0.76491
CVE-1999-0054,0.01361,0.70523
CVE-1999-0055,0.00449,0.36338
CVE-1999-0056,0.00366,0.27668
CVE-1999-0057,0.08186,0.94664
CVE-1999-0058,0.018,0.77535
CVE-1999-0059,0.01594,0.74636
CVE-1999-0060,0.08621,0.94904
CVE-1999-0061,0.02463,0.8377
CVE-1999-0062,0.00568,0.44669
CVE-1999-0063,0.08247,0.94694
CVE-1999-0064,0.00745,0.5278
CVE-1999-0065,0.03188,0.87547
CVE-1999-0066,0.12334,0.9605
CVE-1999-0067,0.86871,0.99741
CVE-1999-0068,0.07028,0.93943
CVE-1999-0069,0.01395,0.71195
