#model_version:v2026.06.15,score_date:2026-08-25T12:03:58Z
cve,epss,percentile,change_type
CVE-1999-0004,0.02817,0.85474,updated
CVE-1999-0006,0.119,0.95781,updated
CVE-1999-0012,0.18196,0.96981,updated
CVE-1999-0013,0.01108,0.63366,updated
CVE-1999-0015,0.35689,0.98336,updated
CVE-1999-0019,0.0164,0.74534,updated
CVE-1999-0022,0.00495,0.40256,updated
CVE-1999-0024,0.04935,0.91478,updated
CVE-1999-0028,0.00438,0.36348,updated
CVE-1999-0029,0.01246,0.67038,updated
CVE-1999-0030,0.0107,0.62306,updated
CVE-1999-0032,0.01,0.60177,updated
CVE-1999-0033,0.00634,0.47685,updated
CVE-1999-0042,0.12828,0.95982,updated
CVE-1999-0043,0.44841,0.98677,updated
CVE-1999-0045,0.26164,0.97833,updated
CVE-1999-0050,0.01247,0.67058,updated
CVE-1999-0052,0.02162,0.80829,updated
CVE-1999-0053,0.01736,0.7594,updated
CVE-1999-0056,0.00369,0.29566,updated
CVE-1999-0057,0.08252,0.94467,updated
CVE-1999-0059,0.016,0.73916,updated
CVE-1999-0060,0.08691,0.94717,updated
CVE-1999-0061,0.02484,0.83368,updated
CVE-1999-0062,0.00573,0.44778,updated
CVE-1999-0065,0.03214,0.87235,updated
CVE-1999-0066,0.12433,0.95894,updated
CVE-1999-0072,0.00407,0.33612,updated
CVE-1999-0073,0.03113,0.86801,updated
CVE-1999-0074,0.084,0.94548,updated
CVE-1999-0076,0.01646,0.74627,updated
CVE-1999-0077,0.30873,0.9811,updated
CVE-1999-0078,0.00923,0.57688,updated
CVE-1999-0080,0.03896,0.89457,updated
CVE-1999-0082,0.08027,0.9433,updated
CVE-1999-0083,0.01758,0.76243,updated
CVE-1999-0084,0.00415,0.34297,updated
CVE-1999-0086,0.02141,0.80655,updated
CVE-1999-0087,0.01372,0.69862,updated
CVE-1999-0089,0.00407,0.33612,updated
CVE-1999-0090,0.00407,0.33612,updated
CVE-1999-0091,0.00407,0.33612,updated
CVE-1999-0093,0.00418,0.34589,updated
CVE-1999-0094,0.00379,0.30618,updated
CVE-1999-0095,0.16446,0.96736,updated
CVE-1999-0096,0.01284,0.67924,updated
CVE-1999-0100,0.02777,0.85272,updated
CVE-1999-0103,0.1463,0.96383,updated
CVE-1999-0104,0.0915,0.94924,updated
CVE-1999-0111,0.01415,0.70708,updated
CVE-1999-0114,0.00822,0.54562,updated
CVE-1999-0116,0.05668,0.92396,updated
CVE-1999-0117,0.00402,0.33051,updated
CVE-1999-0119,0.05975,0.92736,updated
CVE-1999-0121,0.00449,0.37148,updated
CVE-1999-0122,0.01101,0.63178,updated
CVE-1999-0125,0.01146,0.64322,updated
CVE-1999-0127,0.00577,0.44957,updated
CVE-1999-0128,0.74678,0.9946,updated
CVE-1999-0132,0.0048,0.39248,updated
CVE-1999-0134,0.00357,0.28381,updated
CVE-1999-0138,0.00703,0.50527,updated
CVE-1999-0142,0.01547,0.73104,updated
CVE-1999-0145,0.00992,0.59944,updated
CVE-1999-0146,0.15053,0.96459,updated
CVE-1999-0151,0.0138,0.70028,updated
CVE-1999-0157,0.01103,0.63218,updated
CVE-1999-0159,0.0108,0.62549,updated
CVE-1999-0160,0.01233,0.66723,updated
CVE-1999-0161,0.01667,0.74954,updated
CVE-1999-0163,0.00441,0.36566,updated
CVE-1999-0167,0.00391,0.31946,updated
CVE-1999-0168,0.0174,0.75996,updated
CVE-1999-0172,0.03291,0.87546,updated
CVE-1999-0181,0.01314,0.68541,updated
CVE-1999-0185,0.07383,0.93942,updated
CVE-1999-0189,0.01184,0.65437,updated
CVE-1999-0194,0.01359,0.69597,updated
CVE-1999-0203,0.02084,0.80117,updated
CVE-1999-0213,0.01855,0.77552,updated
CVE-1999-0214,0.01855,0.77552,updated
CVE-1999-0216,0.02572,0.83978,updated
CVE-1999-0221,0.01396,0.7033,updated
CVE-1999-0222,0.01359,0.69597,updated
CVE-1999-0223,0.00316,0.23746,updated
CVE-1999-0225,0.18614,0.97035,updated
CVE-1999-0227,0.05013,0.91595,updated
CVE-1999-0239,0.07449,0.93981,updated
CVE-1999-0241,0.04223,0.90238,updated
CVE-1999-0246,0.05961,0.92725,updated
CVE-1999-0256,0.7242,0.99392,updated
CVE-1999-0258,0.05922,0.92679,updated
CVE-1999-0261,0.01352,0.69435,updated
CVE-1999-0263,0.00336,0.26054,updated
CVE-1999-0264,0.05853,0.92617,updated
CVE-1999-0270,0.32355,0.98193,updated
CVE-1999-0271,0.01184,0.65435,updated
CVE-1999-0272,0.01359,0.69598,updated
CVE-1999-0273,0.01359,0.69598,updated
CVE-1999-0275,0.05922,0.92679,updated
CVE-1999-0280,0.15268,0.96501,updated
CVE-1999-0281,0.12592,0.95927,updated
CVE-1999-0284,0.11626,0.9571,updated
CVE-1999-0289,0.03712,0.88912,updated
CVE-1999-0290,0.01873,0.77772,updated
CVE-1999-0292,0.05922,0.9268,updated
CVE-1999-0293,0.02629,0.84344,updated
CVE-1999-0295,0.00348,0.2738,updated
CVE-1999-0296,0.00371,0.29836,updated
CVE-1999-0297,0.004,0.32846,updated
CVE-1999-0299,0.01311,0.68492,updated
CVE-1999-0300,0.01154,0.64578,updated
CVE-1999-0302,0.01559,0.73316,updated
CVE-1999-0304,0.00364,0.29095,updated
CVE-1999-0305,0.01376,0.69952,updated
CVE-1999-0306,0.01686,0.75249,updated
CVE-1999-0308,0.00516,0.41599,updated
CVE-1999-0310,0.01489,0.72113,updated
CVE-1999-0311,0.00534,0.42707,updated
CVE-1999-0313,0.00352,0.2785,updated
CVE-1999-0318,0.00613,0.46697,updated
CVE-1999-0320,0.01318,0.6864,updated
CVE-1999-0322,0.00303,0.22314,updated
CVE-1999-0323,0.01361,0.69635,updated
CVE-1999-0326,0.00516,0.41599,updated
CVE-1999-0327,0.00329,0.25295,updated
CVE-1999-0330,0.00414,0.34198,updated
CVE-1999-0331,0.04895,0.91417,updated
CVE-1999-0332,0.12896,0.95999,updated
CVE-1999-0333,0.0628,0.93043,updated
CVE-1999-0334,0.00412,0.34064,updated
CVE-1999-0336,0.00613,0.46697,updated
CVE-1999-0339,0.004,0.32846,updated
CVE-1999-0341,0.00403,0.33198,updated
CVE-1999-0342,0.00329,0.25286,updated
CVE-1999-0343,0.01152,0.64531,updated
CVE-1999-0344,0.01452,0.71402,updated
CVE-1999-0348,0.10648,0.95446,updated
CVE-1999-0351,0.01497,0.72231,updated
CVE-1999-0352,0.00308,0.22957,updated
CVE-1999-0354,0.05111,0.91732,updated
CVE-1999-0356,0.01312,0.68509,updated
CVE-1999-0357,0.16237,0.96697,updated
CVE-1999-0358,0.00385,0.31298,updated
CVE-1999-0373,0.00462,0.38043,updated
CVE-1999-0375,0.02616,0.84262,updated
CVE-1999-0377,0.01838,0.77325,updated
CVE-1999-0378,0.01118,0.63629,updated
CVE-1999-0379,0.05881,0.92647,updated
CVE-1999-0380,0.00332,0.25594,updated
CVE-1999-0383,0.01141,0.64202,updated
CVE-1999-0389,0.00425,0.35211,updated
CVE-1999-0390,0.00443,0.36731,updated
CVE-1999-0392,0.01407,0.70567,updated
CVE-1999-0396,0.01329,0.68876,updated
CVE-1999-0402,0.01452,0.71413,updated
CVE-1999-0403,0.01275,0.67716,updated
CVE-1999-0406,0.004,0.32846,updated
CVE-1999-0408,0.01518,0.72626,updated
CVE-1999-0413,0.00346,0.27173,updated
CVE-1999-0419,0.01397,0.70366,updated
CVE-1999-0426,0.10563,0.95423,updated
CVE-1999-0429,0.01371,0.6985,updated
CVE-1999-0430,0.01823,0.77121,updated
CVE-1999-0431,0.06581,0.93306,updated
CVE-1999-0432,0.00484,0.39493,updated
CVE-1999-0434,0.0111,0.63435,updated
CVE-1999-0435,0.00617,0.46867,updated
CVE-1999-0436,0.00484,0.39494,updated
CVE-1999-0437,0.01823,0.77121,updated
CVE-1999-0439,0.02482,0.83358,updated
CVE-1999-0443,0.02253,0.81591,updated
CVE-1999-0444,0.16237,0.96698,updated
CVE-1999-0445,0.01118,0.63629,updated
CVE-1999-0446,0.00294,0.21343,updated
CVE-1999-0447,0.00484,0.39494,updated
CVE-1999-0449,0.49534,0.98801,updated
CVE-1999-0457,0.004,0.32923,updated
CVE-1999-0458,0.00351,0.27768,updated
CVE-1999-0459,0.00367,0.29395,updated
CVE-1999-0461,0.03239,0.87335,updated
CVE-1999-0464,0.00331,0.2548,updated
CVE-1999-0465,0.02728,0.84946,updated
CVE-1999-0466,0.00348,0.2738,updated
CVE-1999-0468,0.03247,0.87367,updated
CVE-1999-0469,0.17213,0.96858,updated
CVE-1999-0471,0.01988,0.79093,updated
CVE-1999-0473,0.00323,0.24543,updated
CVE-1999-0474,0.01897,0.78055,updated
CVE-1999-0475,0.00321,0.24368,updated
CVE-1999-0480,0.00339,0.26391,updated
CVE-1999-0483,0.00284,0.2034,updated
CVE-1999-0484,0.00291,0.2104,updated
CVE-1999-0485,0.00909,0.57288,updated
CVE-1999-0486,0.01823,0.77121,updated
CVE-1999-0488,0.11569,0.95698,updated
CVE-1999-0490,0.0993,0.95219,updated
CVE-1999-0494,0.01352,0.69436,updated
CVE-1999-0495,0.03129,0.8687,updated
CVE-1999-0496,0.01408,0.70572,updated
CVE-1999-0498,0.03156,0.86982,updated
CVE-1999-0499,0.047,0.91112,updated
CVE-1999-0502,0.53618,0.98913,updated
CVE-1999-0503,0.01835,0.77285,updated
